X,Y
12261.2,782.2
12271.2,782.4144548113077
12281.2,782.6289096226153
12291.2,782.8433644339229
12301.2,783.0578192452305
12311.2,783.2722740565381
12321.2,783.4867288678457
12331.2,783.7011836791534
12341.2,783.915638490461
12351.2,784.1300933017686
12361.2,784.3445481130763
12371.2,784.5590029243839
12381.2,784.7734577356914
12391.2,784.987912546999
12401.2,785.2023673583067
12411.2,785.4168221696143
12421.2,785.6312769809219
12431.2,785.8457317922296
12441.2,786.0601866035372
12451.2,786.2746414148447
12461.2,786.4890962261524
12471.2,786.70355103746
12481.2,786.9180058487676
12491.2,787.1324606600753
12501.2,787.3469154713829
12511.2,787.5613702826905
12521.2,787.7758250939982
12531.2,787.9902799053057
12541.2,788.2047347166133
12551.2,788.4191895279209
12561.2,788.6336443392286
12571.2,788.8480991505362
12581.2,789.0625539618438
12591.2,789.2770087731515
12601.2,789.491463584459
12611.2,789.7059183957666
12621.2,789.9203732070742
12631.2,790.1348280183819
12641.2,790.3492828296895
12651.2,790.5637376409971
12661.2,790.7781924523048
12671.2,790.9926472636124
12681.2,791.2071020749199
12691.2,791.4215568862276
12701.2,791.6360116975352
12711.2,791.8504665088428
12721.2,792.0649213201505
12731.2,792.2793761314581
12741.2,792.4938309427657
12751.2,792.7082857540732
12761.2,792.9227405653809
12771.2,793.1371953766885
12781.2,793.3516501879961
12791.2,793.5661049993038
12801.2,793.7805598106114
12811.2,793.995014621919
12821.2,794.2094694332267
12831.2,794.4239242445342
12841.2,794.6383790558418
12851.2,794.8528338671495
12861.2,795.0672886784571
12871.2,795.2817434897647
12881.2,795.4961983010724
12891.2,795.71065311238
12901.2,795.9251079236876
12911.2,796.1395627349951
12921.2,796.3540175463028
12931.2,796.5684723576104
12941.2,796.782927168918
12951.2,796.9973819802257
12961.2,797.2118367915333
12971.2,797.4262916028409
12979.3,797.6
12989.3,797.8220077220077
12999.3,798.0440154440155
13009.3,798.2660231660232
13019.3,798.488030888031
13029.3,798.7100386100386
